Initialization Time (seconds)
Iteration,Rank 0,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7
4,7.592610120773315,0.13538479804992676,0.9089839458465576,0.13058042526245117,1.6745364665985107,0.22658634185791016,0.9950392246246338,0.21012616157531738
5,7.5725507736206055,0.13088011741638184,0.9177136421203613,0.1351327896118164,1.6939401626586914,0.11379384994506836,0.901625394821167,0.15201497077941895
6,7.555535793304443,0.13063907623291016,0.9014432430267334,0.14716172218322754,1.692298173904419,0.17123842239379883,0.8856828212738037,0.19238901138305664
7,7.63146710395813,0.12496399879455566,0.9045262336730957,0.14990878105163574,1.58848237991333,0.15686392784118652,0.8784053325653076,0.15183329582214355
8,7.4681010246276855,0.22276568412780762,0.8890647888183594,0.1795799732208252,1.5801606178283691,0.1327977180480957,0.9165735244750977,0.13156437873840332
9,7.413734674453735,0.17870092391967773,0.872220516204834,0.19531011581420898,1.6834995746612549,0.1745762825012207,0.8998153209686279,0.12387371063232422
10,7.440141201019287,0.16490578651428223,0.8731403350830078,0.18532705307006836,1.5414009094238281,0.10684490203857422,0.8792638778686523,0.1854410171508789
11,7.389575481414795,0.11838054656982422,0.8000524044036865,0.12816882133483887,1.515425682067871,0.1265270709991455,0.8190016746520996,0.11476445198059082
12,7.4957921504974365,0.11558055877685547,0.8479695320129395,0.15696978569030762,1.5942528247833252,0.15050101280212402,0.9249873161315918,0.12873101234436035
13,7.467609167098999,0.11829280853271484,0.8275601863861084,0.10902953147888184,1.5788242816925049,0.10645747184753418,0.9135336875915527,0.11158609390258789
14,7.4207024574279785,0.16271018981933594,0.895348072052002,0.12883877754211426,1.577059030532837,0.1918032169342041,0.9168117046356201,0.1322622299194336
15,7.58260440826416,0.10163044929504395,0.8677563667297363,0.10709452629089355,1.7194204330444336,0.18634605407714844,0.9031133651733398,0.11032986640930176
16,7.476163625717163,0.12667274475097656,0.874976634979248,0.1420125961303711,1.6191611289978027,0.12197279930114746,0.9103095531463623,0.1751880645751953
17,7.3897693157196045,0.11306452751159668,0.8566086292266846,0.16627097129821777,1.5272910594940186,0.12511730194091797,0.837662935256958,0.13763022422790527
18,7.586803197860718,0.13544893264770508,0.89302659034729,0.1692824363708496,1.660766363143921,0.1701807975769043,0.9742541313171387,0.1413562297821045
19,7.5570783615112305,0.12351822853088379,0.8809430599212646,0.15216517448425293,1.6410975456237793,0.19986534118652344,0.9069523811340332,0.2044508457183838

Reconfig Time (seconds)
Iteration,Rank 0,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,0.0723273754119873,0.07227230072021484,0.07339286804199219,0.07328987121582031,0.0704338550567627,0.07029390335083008,0.0711832046508789,0.07197356224060059
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
